time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max,location
2024-01-01,30.0,21.4,0.0,15.6,94,Arumbakkam
2024-01-02,28.6,20.7,0.0,14.5,92,Arumbakkam
2024-01-03,28.9,21.5,0.0,16.1,89,Arumbakkam
2024-01-04,30.0,23.1,0.6,18.3,88,Arumbakkam
2024-01-05,29.9,22.9,0.6,15.5,92,Arumbakkam
2024-01-06,29.0,23.8,1.9,21.3,95,Arumbakkam
2024-01-07,27.2,23.7,12.9,20.2,94,Arumbakkam
2024-01-08,26.1,23.6,25.4,15.5,95,Arumbakkam
2024-01-09,29.0,24.4,0.1,19.2,86,Arumbakkam
2024-01-10,28.9,23.4,0.0,16.6,94,Arumbakkam
2024-01-11,29.1,22.2,0.0,15.5,95,Arumbakkam
2024-01-12,29.3,21.3,0.0,13.9,96,Arumbakkam
2024-01-13,29.5,21.8,0.3,13.9,100,Arumbakkam
2024-01-14,29.7,20.5,0.2,12.7,100,Arumbakkam
2024-01-15,29.7,20.5,0.0,12.3,99,Arumbakkam
2024-01-16,29.4,19.8,0.0,10.8,89,Arumbakkam
2024-01-17,29.5,18.8,0.0,13.4,98,Arumbakkam
2024-01-18,30.0,19.5,0.0,11.9,99,Arumbakkam
2024-01-19,29.8,20.8,0.2,13.9,99,Arumbakkam
2024-01-20,30.0,22.2,0.0,14.1,94,Arumbakkam
2024-01-21,30.6,21.5,0.0,12.1,95,Arumbakkam
2024-01-22,30.1,20.9,0.0,12.9,99,Arumbakkam
2024-01-23,30.4,21.3,0.1,14.6,94,Arumbakkam
2024-01-24,30.8,21.0,0.0,15.1,98,Arumbakkam
2024-01-25,30.5,20.7,0.0,14.7,98,Arumbakkam
2024-01-26,30.2,22.1,1.2,13.7,96,Arumbakkam
2024-01-27,30.8,21.8,0.5,15.8,93,Arumbakkam
2024-01-28,30.2,22.0,0.5,16.0,95,Arumbakkam
2024-01-29,30.0,21.0,0.0,16.8,93,Arumbakkam
2024-01-30,32.0,19.5,0.0,18.3,95,Arumbakkam
2024-01-31,31.4,21.1,0.1,12.2,96,Arumbakkam
2024-02-01,31.0,23.5,0.8,13.7,96,Arumbakkam
2024-02-02,31.4,22.8,0.4,13.0,100,Arumbakkam
2024-02-03,31.4,22.7,0.0,13.4,97,Arumbakkam
2024-02-04,31.9,21.9,0.0,13.8,96,Arumbakkam
2024-02-05,31.5,21.3,0.0,13.2,99,Arumbakkam
2024-02-06,31.5,20.6,0.0,13.6,100,Arumbakkam
2024-02-07,32.7,20.5,0.0,12.0,100,Arumbakkam
2024-02-08,33.4,20.0,0.0,11.9,100,Arumbakkam
2024-02-09,32.0,21.5,0.1,15.3,100,Arumbakkam
2024-02-10,32.1,23.5,0.1,16.3,91,Arumbakkam
2024-02-11,31.4,22.5,0.0,18.3,94,Arumbakkam
2024-02-12,30.8,20.6,0.0,16.3,98,Arumbakkam
2024-02-13,31.7,22.1,1.1,18.4,92,Arumbakkam
2024-02-14,32.1,22.8,0.9,16.5,96,Arumbakkam
2024-02-15,31.4,21.5,0.1,15.4,100,Arumbakkam
2024-02-16,32.3,21.7,0.0,17.0,97,Arumbakkam
2024-02-17,33.0,21.0,0.0,15.6,100,Arumbakkam
2024-02-18,32.8,21.5,0.0,14.7,100,Arumbakkam
2024-02-19,33.5,20.8,0.0,17.3,100,Arumbakkam
2024-02-20,32.8,22.5,0.0,15.8,100,Arumbakkam
2024-02-21,34.2,21.5,0.0,18.3,100,Arumbakkam
2024-02-22,33.9,23.0,1.6,20.0,100,Arumbakkam
2024-02-23,35.4,24.8,0.3,22.8,96,Arumbakkam
2024-02-24,32.5,24.6,0.9,18.9,96,Arumbakkam
2024-02-25,32.2,24.1,0.0,15.9,89,Arumbakkam
2024-02-26,32.1,24.4,0.2,19.5,81,Arumbakkam
2024-02-27,32.6,23.1,0.1,18.4,98,Arumbakkam
2024-02-28,33.7,23.0,0.0,15.7,100,Arumbakkam
2024-02-29,34.1,21.5,0.0,14.5,100,Arumbakkam
2024-03-01,34.0,22.7,0.0,15.3,100,Arumbakkam
2024-03-02,35.1,22.2,0.0,16.0,100,Arumbakkam
2024-03-03,33.5,22.8,0.0,17.6,97,Arumbakkam
2024-03-04,32.4,21.0,0.1,16.0,100,Arumbakkam
2024-03-05,33.4,21.2,0.0,17.1,99,Arumbakkam
2024-03-06,35.2,21.8,0.0,18.6,99,Arumbakkam
2024-03-07,36.8,21.6,0.0,18.7,99,Arumbakkam
2024-03-08,34.4,22.8,0.0,19.7,100,Arumbakkam
2024-03-09,35.0,23.4,0.0,20.1,100,Arumbakkam
2024-03-10,34.9,23.5,0.0,17.7,98,Arumbakkam
2024-03-11,34.8,23.3,0.1,17.1,97,Arumbakkam
2024-03-12,35.8,22.8,0.0,19.9,99,Arumbakkam
2024-03-13,36.2,24.2,0.0,20.8,99,Arumbakkam
2024-03-14,35.6,24.0,0.1,18.6,100,Arumbakkam
2024-03-15,34.2,23.2,0.0,20.0,98,Arumbakkam
2024-03-16,34.0,24.0,0.2,21.5,94,Arumbakkam
2024-03-17,33.5,23.5,0.3,19.1,97,Arumbakkam
2024-03-18,35.2,22.3,0.0,17.8,98,Arumbakkam
2024-03-19,34.6,22.5,0.0,15.6,99,Arumbakkam
2024-03-20,34.0,22.4,0.0,18.3,98,Arumbakkam
2024-03-21,32.0,24.6,1.1,16.2,91,Arumbakkam
2024-03-22,33.7,24.5,0.4,14.2,96,Arumbakkam
2024-03-23,35.4,22.7,0.0,16.8,100,Arumbakkam
2024-03-24,34.2,23.3,0.0,19.6,100,Arumbakkam
2024-03-25,33.5,23.5,0.0,15.9,98,Arumbakkam
2024-03-26,33.3,22.9,0.0,18.6,98,Arumbakkam
2024-03-27,34.7,22.9,0.0,18.4,99,Arumbakkam
2024-03-28,35.8,22.1,0.0,19.0,100,Arumbakkam
2024-03-29,37.0,24.1,0.0,19.7,99,Arumbakkam
2024-03-30,36.8,23.1,0.0,19.4,100,Arumbakkam
2024-03-31,35.8,23.3,0.0,19.7,100,Arumbakkam
2024-04-01,36.2,24.0,0.0,20.4,100,Arumbakkam
2024-04-02,37.0,25.0,0.0,21.1,98,Arumbakkam
2024-04-03,37.4,25.7,0.0,20.4,99,Arumbakkam
2024-04-04,37.5,25.0,0.0,19.7,99,Arumbakkam
2024-04-05,37.7,25.1,0.0,20.3,100,Arumbakkam
2024-04-06,39.2,25.6,0.0,20.1,100,Arumbakkam
2024-04-07,39.5,25.2,0.0,19.3,100,Arumbakkam
2024-04-08,38.5,25.8,0.0,21.3,100,Arumbakkam
2024-04-09,35.4,24.7,0.0,16.9,94,Arumbakkam
2024-04-10,34.9,24.9,0.1,17.0,98,Arumbakkam
2024-04-11,35.1,24.8,0.0,19.1,96,Arumbakkam
2024-04-12,34.7,26.8,0.0,18.7,90,Arumbakkam
2024-04-13,35.5,24.9,0.5,17.4,100,Arumbakkam
2024-04-14,35.5,25.1,0.0,15.9,100,Arumbakkam
2024-04-15,36.4,24.0,0.0,16.3,100,Arumbakkam
2024-04-16,36.8,23.8,0.0,20.2,100,Arumbakkam
